Num,Par_Non,Color,Mayor_Menor,Docena,Fila
7,non,rojo,menor,1,1
17,non,negro,menor,2,2
29,non,negro,mayor,3,2
11,non,negro,menor,1,2
18,par,rojo,menor,2,3
10,par,negro,menor,1,1
8,par,negro,menor,1,2
33,non,negro,mayor,3,3
27,non,rojo,mayor,3,3
12,par,rojo,menor,1,3
21,non,rojo,mayor,2,3
34,par,rojo,mayor,3,1
12,par,rojo,menor,1,3
32,par,rojo,mayor,3,2
13,non,negro,menor,2,1
36,par,rojo,mayor,3,3
18,par,rojo,menor,2,3
18,par,rojo,menor,2,3
25,non,rojo,mayor,3,1
13,non,negro,menor,2,1
9,non,rojo,menor,1,3
21,non,rojo,mayor,2,3
4,par,negro,menor,1,1
16,par,rojo,menor,2,1
24,par,negro,mayor,2,3
24,par,negro,mayor,2,3
26,par,negro,mayor,3,2
18,par,rojo,menor,2,3
29,non,negro,mayor,3,2
14,par,rojo,menor,2,2
32,par,rojo,mayor,3,2
6,par,negro,menor,1,3
12,par,rojo,menor,1,3
14,par,rojo,menor,2,2
26,par,negro,mayor,3,2
11,non,negro,menor,1,2
11,non,negro,menor,1,2
26,par,negro,mayor,3,2
26,par,negro,mayor,3,2
16,par,rojo,menor,2,1
4,par,negro,menor,1,1
13,non,negro,menor,2,1
16,par,rojo,menor,2,1
34,par,rojo,mayor,3,1
31,non,negro,mayor,3,1
1,non,rojo,menor,1,1
1,non,rojo,menor,1,1
28,par,negro,mayor,3,1
6,par,negro,menor,1,3
24,par,negro,mayor,2,3
35,non,negro,mayor,3,2
5,non,rojo,menor,1,2
23,non,rojo,mayor,2,2
26,par,negro,mayor,3,2
0,par,verde,menor,1,0
24,par,negro,mayor,2,3
1,non,rojo,menor,1,1
24,par,negro,mayor,2,3
29,non,negro,mayor,3,2
6,par,negro,menor,1,3
23,non,rojo,mayor,2,2
31,non,negro,mayor,3,1
15,non,negro,menor,2,3
4,par,negro,menor,1,1
21,non,rojo,mayor,2,3
31,non,negro,mayor,3,1
12,par,rojo,menor,1,3
15,non,negro,menor,2,3
23,non,rojo,mayor,2,2
16,par,rojo,menor,2,1
36,par,rojo,mayor,3,3
32,par,rojo,mayor,3,2
14,par,rojo,menor,2,2
2,par,negro,menor,1,2
12,par,rojo,menor,1,3
10,par,negro,menor,1,1
3,non,rojo,menor,1,3
18,par,rojo,menor,2,3
15,non,negro,menor,2,3
26,par,negro,mayor,3,2
6,par,negro,menor,1,3
19,non,rojo,mayor,2,1
30,par,rojo,mayor,3,3
4,par,negro,menor,1,1
16,par,rojo,menor,2,1
4,par,negro,menor,1,1
20,par,negro,mayor,2,2
5,non,rojo,menor,1,2
0,par,verde,menor,1,0
15,non,negro,menor,2,3
0,par,verde,menor,1,0
36,par,rojo,mayor,3,3
26,par,negro,mayor,3,2
9,non,rojo,menor,1,3
15,non,negro,menor,2,3
18,par,rojo,menor,2,3
30,par,rojo,mayor,3,3
0,par,verde,menor,1,0
26,par,negro,mayor,3,2
5,non,rojo,menor,1,2
